Output File Name,Relevant Task(s),Name,Description,Data Type
sub-<label>_ses-<label>_task-<label>_ERPSummaryStats,FACE,condition,"Stimulus condition: inverted, object, uprightInv, uprightObj in the Faces task.",String
sub-<label>_ses-<label>_task-<label>_ERPSummaryStats,MMN,condition,"Stimulus condition: standard, deviant, predeviant in the MMN task.",String
sub-<label>_ses-<label>_task-<label>_ERPSummaryStats,"FACE, VEP, MMN",Latency_<time-window>_<ROI>,Latency to peak/adaptive mean amplitude within specified time window (in ms) at the specified region of interest. Values are averaged across trials for each condition.,Integer
sub-<label>_ses-<label>_task-<label>_ERPSummaryStats,"FACE, VEP, MMN",ntrials,Number of trials per condition retained after processing.,Integer
sub-<label>_ses-<label>_task-<label>_ERPSummaryStats,"FACE, VEP, MMN",MeanAmp_<time-window>_<ROI>,Mean amplitude within specified time window (in ms) at the specified region of interest. Values are averaged across trials for each condition.,Float
sub-<label>_ses-<label>_task-<label>_ERPSummaryStats,"FACE, VEP, MMN",Peak_<time-window>_<ROI>,Peak/adpative mean amplitude within specified time window (in ms) at the specified region of interest. Values are averaged across trials for each condition.,Float
sub-<label>_ses-<label>_task-<label>_ERPSummaryStats,"FACE, VEP, MMN",SME_<time-window>_<ROI>,Standardized measurement error within specified time window (in ms) at the specified region of interest. Values are averaged across trials for each condition.,Float
sub-<label>_ses-<label>_task-<label>_ERPTrialMeasures,"FACE, VEP, MMN",Latency_<time-window>_<ROI>,Latency to peak/adaptive mean amplitude within specified time window (in ms) at the specified region of interest. Values are provided for each trial.,Integer
sub-<label>_ses-<label>_task-<label>_ERPTrialMeasures,"FACE, VEP, MMN",MeanAmplitude_<time-window>_<ROI>,Mean amplitude within specified time window (in ms) at the specified region of interest. Values are provided for each trial.,Float
sub-<label>_ses-<label>_task-<label>_ERPTrialMeasures,VEP,condition,Stimulus condition: VEP has only one condition.,String
sub-<label>_ses-<label>_task-<label>_ERPTrialMeasures,"FACE, VEP, MMN",id,Subject ID,String
sub-<label>_ses-<label>_task-<label>_ERPTrialMeasures,"FACE, VEP, MMN",condition,"Stimulus condition: standard, deviant, predeviant in the MMN task.",String
sub-<label>_ses-<label>_task-<label>_ERPTrialMeasures,"FACE, VEP, MMN",Peak_<time-window>_<ROI>,Peak/adpative mean amplitude within specified time window (in ms) at the specified region of interest. Values are provided for each trial.,Float
sub-<label>_ses-<label>_task-<label>_ERPTrialMeasures,"FACE, VEP, MMN",trial_num,Trial number,Integer
sub-<label>_task-RS_AbsPowerSpectra,RS,spectra_output_electrode,Electrode label,String
sub-<label>_task-RS_AbsPowerSpectra,RS,spectra_output_1.0Hz,Sum of absolute power centered at 1 Hz (within the 0.5hz to 1.5hz freq range) at corresponding electrode site,Float
sub-<label>_task-RS_AbsPowerSpectra,RS,spectra_output_2.0Hz,Sum of absolute power centered at 2 Hz (within the 1.5hz to 2.5hz freq range) at corresponding electrode site,Float
sub-<label>_task-RS_AbsPowerSpectra,RS,spectra_output_3.0Hz,Sum of absolute power centered at 3 Hz (within the 2.5hz to 3.5hz freq range) at corresponding electrode site,Float
sub-<label>_task-RS_LogPowerSpectra,RS,spectra_output_electrode,Electrode label,String
sub-<label>_task-RS_LogPowerSpectra,RS,spectra_output_1.0Hz,Sum of natural log power centered at 1 Hz (within the 0.5hz to 1.5hz freq range) at corresponding electrode site,Float
sub-<label>_task-RS_LogPowerSpectra,RS,spectra_output_2.0Hz,Sum of natural log power centered at 2 Hz (within the 1.5hz to 2.5hz freq range) at corresponding electrode site,Float
sub-<label>_task-RS_LogPowerSpectra,RS,spectra_output_3.0Hz,Sum of natural log power centered at 3 Hz (within the 2.5hz to 3.5hz freq range) at corresponding electrode site,Float
sub-<label>_task-RS_dbPowerSpectra,RS,spectra_output_electrode,Electrode label,String
sub-<label>_task-RS_dbPowerSpectra,RS,spectra_output_1.0Hz,Sum of power in db centered at 1 Hz (within the 0.5hz to 1.5hz freq range) at corresponding electrode site,Float
sub-<label>_task-RS_dbPowerSpectra,RS,spectra_output_2.0Hz,Sum of power in db centered at 2 Hz (within the 1.5hz to 2.5hz freq range) at corresponding electrode site,Float
sub-<label>_task-RS_dbPowerSpectra,RS,spectra_output_3.0Hz,Sum of power in db centered at 3 Hz (within the 2.5hz to 3.5hz freq range) at corresponding electrode site,Float
